,0.0001,0.0002,0.00030000000000000003,0.0004,0.0005,0.0006000000000000001,0.0007000000000000001,0.0008,0.0009000000000000001,0.001,0.0011,0.0012000000000000001,0.0013000000000000002,0.0014000000000000002,0.0015,0.0016,0.0017000000000000001,0.0018000000000000002,0.0019000000000000002,0.002,0.0021,0.0022,0.0023,0.0024,0.0025,0.0026,0.0027,0.0028,0.0029,0.003,0.0031,0.0032,0.0033,0.0034,0.0035,0.0036,0.0037,0.0038,0.0039,0.004,0.0041,0.004200000000000001,0.004300000000000001,0.0044,0.0045000000000000005,0.004600000000000001,0.0047,0.0048000000000000004,0.004900000000000001,0.005
15,68287,69712,70927,72352,74842,75622,78157,79417,80542,81547,83572,83647,85372,88177,88897,91522,92782,92992,94462,96667,97942,98827,100357,102487,103252,104482,106912,108812,109882,110182,112972,112792,115957,115477,119152,120422,121522,120922,122137,127357,126667,127027,129382,129217,131917,132337,136642,135292,137632,139522
16,63892,65668,67332,68820,70228,71924,73908,74820,77140,78596,79588,80932,82420,84052,86084,88164,89652,89844,91748,94052,94804,97668,98500,100564,100276,103604,104468,104980,108900,109492,112228,112708,112340,115252,118276,117860,120228,121284,122660,124404,126500,127556,130436,130180,132660,132804,136516,137860,138196,139364
17,60473,61765,63703,65624,67137,68157,70894,72611,74039,76317,77439,78663,79802,82386,83661,85531,88081,89475,91073,93062,93334,95204,95816,99216,100627,102276,102531,107308,108022,109246,111150,111609,114202,115791,115434,119208,118239,120925,123577,124767,126042,128320,129765,130955,132230,134576,134406,136905,138248,140373
18,57320,59390,61172,63008,64682,66086,67922,69524,70964,74564,75446,76688,77696,80990,83294,83852,84482,89036,89090,90368,94076,94184,97874,97928,99242,100808,103526,104390,106758,108386,110222,111302,112112,113624,117980,118988,119042,121436,122336,125000,127862,129158,131984,130616,133892,134810,135278,137690,139796,140264
19,54627,56565,58256,60004,61790,64013,66312,67357,69428,71651,73380,75318,77351,80410,80429,82253,84495,85692,88276,90157,91658,95002,96343,97415,97947,99885,103248,104673,106174,108891,110829,110278,113413,115199,116377,119379,120728,121982,122875,127340,126580,129677,131843,132261,134522,136650,138284,140564,141077,144630
20,51880,54020,56120,57400,60140,61880,63520,64960,67500,70200,72080,73660,75800,77060,78800,81020,84680,84360,86100,90780,89720,92020,96440,97320,99380,100640,102820,105960,105980,109500,111240,112180,112460,115220,117880,118680,121480,122860,125640,127540,128880,133200,133360,135980,135360,139060,141340,141380,144540,147060
21,49468,51736,54886,55915,57805,59800,62719,64294,66541,68032,70615,72421,74080,76138,78616,79645,82879,83530,87163,90019,91195,91762,94555,95584,97936,102283,102850,106294,106210,108184,112048,111712,116038,116584,119314,118600,121939,125236,124480,130276,129205,131998,134161,137395,137857,138676,140608,143842,144892,145774
22,47655,49811,52693,53573,55245,58897,60613,62571,65739,68247,70689,71657,73637,75199,79203,79951,80677,84131,86991,88157,90929,92997,95219,97397,96957,102941,104723,105999,107011,109321,110553,115041,115173,117835,120145,123533,122521,125855,126679,129605,133081,134489,136711,137943,140573,143333,145819,146975,150923,146853
23,45457,48079,49643,53231,55025,57808,60729,60798,63788,66709,68595,70481,71861,76254,78370,77611,81705,84948,86512,88375,90744,93803,94148,98656,98127,99369,105602,105165,110662,110892,111973,113721,117355,117194,121518,122346,124048,127774,129108,129660,134191,135755,137204,139918,141482,143322,145116,148359,149532,151717
24,44691,46635,48555,51651,54315,55251,58851,60507,63651,66027,67755,71619,71259,74955,77115,78651,83283,82083,88059,87771,91587,93003,94947,97635,100179,104307,104955,107187,108771,111651,114283,117459,115923,121323,123435,124851,126795,128787,131811,131787,138627,138699,139683,143667,147123,146235,153435,152283,153291,154035
25,42325,45300,47550,50575,52950,55425,56950,58750,61025,65075,67850,70600,72300,75775,77675,78475,81925,83650,85725,88225,90225,93375,96875,98325,99300,103200,107725,107675,110775,114375,115350,116225,120850,119450,121200,126950,128575,132650,133850,135375,138575,142025,141550,143550,145775,148475,151425,152550,153625,156975
26,41062,43142,45950,49200,51410,53750,57130,59314,62070,64982,67348,69272,71066,73692,77020,78996,81934,84144,86588,90618,92204,95428,96832,97534,101746,105100,105998,110066,112562,114486,114460,114850,122286,124756,125848,127096,131230,133336,134012,137938,141006,140538,144906,144724,150730,151900,153486,154552,159128,158556
27,39522,41601,45111,48567,51348,52590,55479,57531,61203,64200,65793,68034,72246,72273,76836,80184,82911,84018,88500,88635,95520,97329,99111,100434,101352,104727,109182,110343,113313,115095,118686,120792,119307,126219,128001,129675,131538,132861,138180,141609,141636,147117,146631,148440,151815,155460,154704,162048,159564,163803
28,38487,41819,44339,47727,49491,52515,55455,58647,60383,62707,66011,69623,71695,73151,77883,78191,82475,85387,88803,90483,93171,97287,98491,101011,102859,104399,111967,112631,112855,116019,119491,121367,123895,127023,128843,130439,134527,140799,138923,143123,144971,147351,150291,151467,153035,156115,158775,159671,161519,166195
29,37296,39703,43038,45909,48258,51796,54290,58031,59945,62932,65716,68877,72009,74126,77635,79810,81608,85813,88278,89583,94658,97848,100226,101647,106577,105852,109274,111594,115770,122121,119250,123774,126094,125949,129400,135077,137085,137462,142189,141261,145350,147235,149468,154369,156776,159067,158748,164171,168173,171682
30,36154,39784,43114,45004,47254,51364,53674,57574,60184,62674,65794,67864,70054,73684,77854,80104,84514,87274,91054,92794,92764,96514,99604,102604,107584,108424,110254,111544,116434,119224,123574,124054,128434,128314,133684,138544,139384,142384,143404,145624,149614,151654,155404,154684,159454,166414,168784,169204,174424,176344
31,35545,38955,42117,44659,47604,50766,53649,57028,59446,63383,65305,67940,68219,73458,78015,80681,82727,87284,89857,93112,95344,99033,100118,104210,104892,109635,111805,118284,120950,123864,126902,126034,130622,133815,136295,138961,139209,142867,148199,144386,151764,156941,151423,161870,161653,164660,171387,166024,171604,172999
32,34194,37554,40786,43634,46578,49554,53330,56306,59090,62866,65298,70322,74578,74066,79922,81170,84370,89330,88786,92562,99666,97874,102962,106290,108914,110546,113618,116946,119538,121618,125522,130994,135538,137490,137586,138482,142418,146994,149586,154642,153010,157490,157650,158546,168082,168402,172082,177490,175314,180146
33,33571,36706,39610,44230,47464,50896,52909,56572,58816,62281,65251,67627,70333,76273,78715,80365,82972,89737,92938,93961,97855,99373,104785,106369,112111,110494,114091,118282,123661,124123,132010,129964,135409,134749,137521,144946,149137,147487,152437,153757,154945,158014,163657,167650,168046,171610,176395,177649,182005,181312
34,33118,35056,39748,43352,46234,49676,54504,57326,59570,62188,65894,69804,71878,73680,80582,83200,87110,87416,91904,96324,98568,100710,106218,107884,109244,112950,118254,120838,125292,128658,127970,133860,135662,137226,141884,144978,149160,148786,154150,156640,161128,163568,165370,168370,171940,173062,177474,180882,180772,183024
35,32142,35817,38652,42642,45512,48557,52197,55277,60422,63642,65917,70187,73127,76697,80582,82402,86357,91047,93532,95352,99762,102597,110752,106937,114707,112202,120587,122337,124017,127832,133852,134832,137212,141062,144317,147152,149672,150127,157512,158282,163987,163917,169937,168397,177287,178232,181452,180277,183587,192827
36,31198,35158,39226,42718,45778,48118,52762,57910,60502,62518,66730,70294,74866,75550,82318,86494,86926,90274,92254,94522,101938,103378,107518,111046,116986,116230,123466,124654,122890,132070,136354,136706,138802,145678,146794,151106,149746,151942,158026,163822,163786,170338,168754,172858,175270,178978,184198,186322,190930,189122
37,30469,34317,38054,41569,46268,48636,51966,58034,59107,62881,68579,69171,75017,78421,81640,85784,88263,90261,94590,96107,100695,105579,109908,113090,116272,118566,121933,126928,130924,131775,134328,138509,141987,146131,146723,152347,157601,156750,160931,167369,168294,171920,174917,175731,180134,178913,188903,191419,191234,189902
38,30078,34676,36652,42314,46570,48432,52270,56146,58730,66064,66786,72638,74348,78908,82936,87686,91334,89662,95514,94944,104938,105310,109764,115426,115350,120024,123938,126142,131500,131424,136820,142558,143280,149170,150690,152552,158024,160038,167182,164256,167524,174668,178430,179228,178430,186144,181888,193934,198942,199064
39,29581,33910,36601,41086,44986,48379,53410,56179,60742,61522,67333,70375,74782,81958,83401,88627,89212,94555,95842,97675,107737,111013,115888,115576,118345,123142,124897,125950,133477,133087,140536,139717,146815,151534,152197,157696,162181,164326,168343,172867,174661,171619,182578,183748,187024,189052,194083,193576,197320,201493
40,28560,31840,37440,41720,44960,48440,52320,55600,60080,64520,65120,73600,76120,79080,83560,89520,90960,94920,94680,102880,104720,108800,113000,116880,120960,122760,124600,132320,132120,135080,140920,147240,147840,150440,155600,158720,161360,164680,172440,178160,171400,180520,181080,187320,186840,195320,197200,200240,204680,203480
41,28778,32837,36814,41693,43251,48991,51451,55141,59528,64120,68097,71623,75764,80807,85358,89868,91713,97330,96715,104177,108605,110327,114427,117543,125210,127342,128613,131278,133287,144316,143865,147186,150517,158092,158256,160839,167030,167768,171335,179535,183430,186874,182979,191015,196919,191138,193926,204996,205078,211197
42,27380,31790,35234,40274,45944,49892,53966,55100,62072,64298,68540,73076,76184,83198,86642,89372,95966,96092,99830,104072,105458,111002,117428,121334,125744,129608,129272,136958,139122,142272,144434,152582,152036,153212,162158,165560,166694,170180,175556,178118,179588,184964,185384,192944,195590,200000,202352,206972,211214,215246
43,28115,31426,36285,40800,41961,50174,53184,57398,61526,67331,69051,72620,78038,82037,84445,88831,97044,99280,103365,107794,105085,114029,119361,122027,127832,128993,133594,137507,141893,140044,146967,152815,156900,161278,163737,168553,170445,177024,173842,183259,186742,189537,192926,195213,202996,200064,204974,210986,210736,218261
44,26600,31660,36016,39624,43496,49436,54760,56872,62812,62900,69280,74384,76848,82260,85824,89344,92512,102368,101708,109584,110508,115920,118780,127624,127492,132156,140296,137304,141924,143420,149184,154256,155476,157676,164452,172988,170920,178268,182448,180776,190940,194372,198640,195868,203832,203304,213468,212060,216240,219452
45,26993,30818,35543,39773,43958,49583,54083,57008,60293,68168,70643,74603,80993,84458,86168,91118,98228,99353,106553,106688,113078,113933,122438,122798,126398,129593,136748,141698,146478,146243,151553,159743,159743,164738,170543,170543,177113,175763,186743,185673,190388,193268,197948,200738,204563,211628,209063,214058,219503,224768
46,26110,31124,36414,42026,46120,50122,52744,56424,62450,69120,68154,74686,79102,84760,86738,89958,99572,99848,106334,108818,113648,120272,122710,126206,129012,132416,141708,145066,147504,150540,155002,158314,162684,163052,172626,176484,175426,181498,186880,188674,196264,202796,199300,207994,211582,209558,215768,218758,225382,227590
47,25554,30724,34813,39936,42944,47926,53378,57561,60992,66585,70016,75327,82659,84539,89004,92012,99062,99438,106018,108603,115700,120917,119883,130975,132620,137649,142913,144511,144840,150057,156336,162465,165097,169562,172288,175954,183897,184790,190336,192827,194049,205047,210499,210123,213507,219664,219852,219786,229769,226366
48,25250,29906,34178,40946,44402,52658,55154,60002,65762,67346,71138,77138,80498,84818,91010,97106,101426,103346,107618,110690,117314,118130,123602,129266,128930,133202,141554,148082,151826,158978,158066,167618,160754,168242,173954,184706,184994,186962,193970,197522,203042,205010,207650,212402,214322,213266,225218,229346,230306,233474
49,25995,29278,34227,40205,44762,49662,54317,59070,62108,68282,71761,77592,81708,85383,90430,94889,101602,104493,112823,116008,120320,117870,128601,129532,138793,142615,142909,147907,151974,154138,162313,162901,167801,174073,180100,186421,184510,190292,191223,199847,207246,209410,209108,216115,217634,222828,225572,228806,234392,238851
50,25350,31500,34700,39900,46600,48750,53800,58200,64700,69600,75500,80600,84200,88550,88550,98000,99300,106500,112050,115450,119050,124050,130200,132650,138050,139750,145800,150750,153500,161950,165550,166500,173500,180250,176250,180700,189750,192750,202800,202550,204750,208900,210800,216150,221350,226750,236200,236250,240900,244700
51,24606,29451,34347,38682,45516,50157,52911,59847,64182,67497,73209,81165,83715,91110,94680,96567,104829,108807,111612,118336,123240,123495,128026,137112,140070,141702,147159,150933,158022,162357,170109,171690,174138,178830,181533,190866,191980,193620,199434,209379,208359,217845,216723,219681,223404,228351,230281,236715,240583,244467
52,24743,28695,33571,40239,45231,51003,56307,59479,65407,69775,73623,81007,82983,89171,90771,100455,105031,105239,114859,114339,123219,126871,134411,137687,140339,143875,151299,153535,159787,168107,169875,169511,175011,186399,185371,189531,195251,202427,199879,201751,208771,212931,221875,226867,226971,235499,240179,245379,247719,251203
53,24539,30899,34132,41075,42771,49025,56498,62540,65137,72822,78228,79182,85807,91266,93386,97785,108544,108491,115487,120257,126458,128048,137160,138118,143259,146174,153647,156717,159208,164565,170289,171296,175960,180147,187567,193026,197955,204527,202619,213537,215441,223289,220003,218833,230285,235475,238659,240249,253075,250690
54,24297,30291,34341,41037,46545,50001,53349,59397,65553,71385,76083,82131,89367,87585,96711,98683,107619,113289,116799,122199,126573,132081,138939,140479,144771,151953,160215,152277,164805,167613,170421,175065,182031,192075,188943,191589,202767,201525,210813,212055,217077,223963,226177,230847,230875,240189,246183,243025,254553,252285
55,23847,28687,33252,41062,46012,51897,55472,58992,65757,75437,77802,82312,81652,92487,96062,106732,106997,110747,117732,117567,123562,133737,141162,137972,150072,151667,152437,162997,165967,165142,173337,183567,184227,185217,191862,196602,195062,200552,210902,215182,212827,225587,228667,233727,242362,243187,243847,250117,256772,258367
