,0.0001,0.0051,0.0101,0.015099999999999999,0.0201,0.0251,0.0301,0.035100000000000006,0.040100000000000004,0.0451,0.050100000000000006,0.0551,0.0601,0.0651,0.07010000000000001,0.0751,0.0801,0.08510000000000001,0.0901,0.0951,0.10010000000000001
2,500206,509922,520030,529830,539096,549596,559454,569106,578004,587926,597088,606796,616736,625770,634326,644742,653486,662650,671772,680864,691094
3,333634,348694,363550,377695,392365,406732,420220,434518,449158,463135,476227,489349,503305,515620,529834,541225,555142,566905,579604,593020,604214
4,250456,270516,290324,308992,328616,346660,364368,382940,400908,418620,436164,452724,467800,485200,502404,517952,534316,549816,565520,579236,594216
5,200450,225015,249300,274150,296795,317555,342165,362840,385805,406095,425990,447185,466780,485395,504150,523100,540090,558375,576645,592525,610715
6,167231,196637,226265,254573,281999,309161,334277,359273,385649,408549,431553,457073,475625,499301,518429,541175,560519,579951,600533,618345,633417
7,143544,178019,210772,242727,276019,305566,334511,364233,392590,418854,444957,471830,494027,519934,539527,563439,585566,605761,625998,644184,663931
8,125888,164216,201624,239584,275008,309896,341064,375592,402376,435560,462888,490016,514776,541184,566008,587752,614656,635136,654376,676456,693808
9,111949,156175,198160,240019,276811,315304,350413,385405,417697,451744,482650,508903,538271,567223,592307,617677,637009,662075,682855,706759,722113
10,101110,149260,195370,241450,282580,325850,365500,403660,436240,470710,501510,532500,562150,589410,613560,640570,668730,690610,711570,730480,751370
11,91966,144370,196785,245053,292254,335066,379033,413023,453393,488516,524575,554692,585635,609428,640514,667596,692137,715600,737567,758126,775715
12,84570,142122,197910,249666,298674,348030,392506,433726,470286,508014,544170,578898,607242,637554,663834,691158,716874,740614,763854,782658,802638
13,78120,141144,200632,255011,310690,358829,405460,449868,490545,530208,565945,600564,629879,659714,689718,716888,737519,762518,786022,803559,824255
14,72927,140757,203295,263159,320881,368075,418525,465151,506731,549263,584691,620565,648475,684881,711509,734001,761007,782727,806947,823251,838993
15,68032,138472,209257,272602,325462,385852,431912,480982,522637,563282,605192,639577,672977,703387,728732,757172,779147,804737,824332,840122,864392
16,64004,140260,212548,276436,338980,396180,447988,498420,540820,584036,619988,658884,689572,721508,754020,774228,796964,822772,841716,860852,877012
17,60626,143076,217162,290245,349779,408089,468269,514322,559449,602705,641423,673893,714574,742156,768540,793904,817313,839558,857731,874238,893193
18,57392,144656,222542,295694,360170,424034,475740,528812,575622,617804,658142,697410,727776,757566,785222,809910,835712,853352,873972,888246,904706
19,54437,146530,228914,304268,374644,438533,492987,540601,594341,634290,677800,710317,745649,772903,801289,826855,849731,871000,885470,904831,919184
20,52160,146140,232900,312360,382660,447880,507360,561400,607480,653400,690280,729300,762680,794560,813900,838460,860540,878520,899100,912520,928980
21,49741,148084,236872,320662,397249,465751,519091,575917,621151,665839,707357,745177,775291,805174,831214,851773,873781,889573,908158,923719,939343
22,47633,150439,246359,327561,401591,477381,539301,595279,641325,681531,719755,756451,793907,819713,845287,864945,886747,903533,920583,932869,945267
23,45802,153442,250295,339173,419966,484642,548174,600269,654635,699077,740172,773574,801243,831488,853424,878799,897055,911827,930566,943935,954032
24,44043,157539,258571,349147,423675,501067,563379,616131,670275,712363,749083,780363,814699,841579,867091,885675,907755,922947,936739,949387,960475
25,42400,156475,265675,352000,434025,511550,574125,630375,678350,719500,767275,796875,826225,854625,879350,901300,916075,932800,944875,955450,967850
26,40672,161000,272294,366244,452798,522726,584918,643976,692804,738058,774314,806398,839210,865054,888858,907110,926206,940624,952584,962736,974528
27,39603,162696,280902,377454,455322,532326,600204,661305,705774,743061,783453,820497,850845,872850,897312,917077,932493,946965,960573,971076,977880
28,38459,170535,283767,380115,468847,544307,611263,668403,715639,759123,802299,833939,861051,884067,904975,920607,939135,949335,964251,973499,983887
29,37586,169942,288900,394750,485745,555062,618398,678979,727344,768212,811734,844598,873098,891049,912016,930692,944583,957604,969262,979673,986930
30,35914,176764,293494,399664,491374,563614,632494,692194,744764,786334,817724,849394,876914,900674,919474,935344,949474,964664,972394,984914,990694
31,35483,178827,299107,408351,500607,573457,642804,704496,754497,794828,829860,861044,884635,907391,926144,944155,955811,967870,977699,989415,996268
32,34258,181490,306450,414674,510834,589298,658194,712690,760402,803250,838354,867538,894962,916690,932082,949170,964594,973650,983538,990386,996370
33,33670,186163,317998,426766,516526,594604,663706,724096,775312,812239,844051,879031,899029,920611,941434,954733,967570,975556,985324,992056,1000009
34,32540,185948,319432,433298,528838,606970,674962,731640,779240,823168,853190,883348,907556,930302,946928,958326,972258,980554,989054,996228,1001906
35,32072,191672,326822,438702,537752,615452,682092,741417,787827,826692,863672,891267,913757,932847,949717,963367,974637,985767,991437,997212,1002532
36,31954,195754,336974,448726,545134,631814,694498,750542,800474,832306,873122,896522,920678,936338,955850,967010,976118,985846,995558,1001678,1005134
37,30247,199263,339567,457819,553131,634235,704202,761108,811650,846911,875105,902115,923390,942112,960538,971564,983737,989620,996095,1002237,1007269
